"Namespace","Repo","Reference","Year","Month","Start Date","Unique IPs","Pull by tag","Pull by digest","Version check"
"osrf","ros","sha256:95bcde7d7ef96d4598e59a10ea7a7544753e4026de67a017be17e1620a7e96fd",2022,10,"2022-10-01",3,0,3,0
"osrf","ros_legacy","sha256:fb467daa071a0fe491088a91c0d8b9bf56c65116583873f2523ba8692570f0c2",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:7fc7605c7cc884f8fa6f855aed39252df02962e93dfec2cfce2e0bab432ef0e8",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","sha256:66a9c3dcfb5520c32bccf95bad5b3e00ca113b5e0da6a52c2b6deeaceafe572b",2022,10,"2022-10-01",1,0,1,0
"osrf","ros2","sha256:18490765246faebc6b95d81a74ce9e6de006c659fbe77eb8d2c33c4b6d2abc63",2022,10,"2022-10-01",1,0,1,0
"osrf","vmrc","sha256:e75c5490f74c3683297eec643b0ca51c53fdc98f2d36ed2d98e90c0818f8235a",2022,10,"2022-10-01",1,0,1,0
"osrf","ros2","nightly",2022,10,"2022-10-01",162,187,0,64
"osrf","debian_arm64","buster",2022,10,"2022-10-01",6,15,0,5640
"osrf","ros","sha256:df6c40f6f100a23f33c20e333259c30351760ee31dd83f00fc22d371a938c910",2022,10,"2022-10-01",28,0,31,0
"osrf","ros2","devel-bionic",2022,10,"2022-10-01",34,350,0,1
"osrf","ros","sha256:ab3297d36be1ca4f8cd5292bb071ad2c28a880fe4cd93e391b7cb2c0ac0d6373",2022,10,"2022-10-01",26,0,28,0
"osrf","car_demo","latest",2022,10,"2022-10-01",18,24,0,0
"osrf","ubuntu_armhf","focal",2022,10,"2022-10-01",19,217,0,4906
"osrf","ros2","sha256:59cc2eb4dfed6c6f79be29eb39f67806e5d866b085313c07bdfde4f02da34219",2022,10,"2022-10-01",2,0,2,0
"osrf","ros_legacy","sha256:5845829ce741a95a322531878d0bda96d6b589812ba2fc94e5a9329710e2167c",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:41942220a304f470677128b40991297d4eced9eedb9993b7eb7b0e90cd7c7e0a",2022,10,"2022-10-01",10,0,10,0
"osrf","ros2","sha256:5346c7f000cde1bc0e4381fca86e3a3593e4ab9b7e70277cbb76886a4dd7c836",2022,10,"2022-10-01",5,0,5,0
"osrf","ros_legacy","sha256:8a82d1b1c9f0df60f9f8460caf012ed41ef4de2d1b8b894884e03b6c264ca39d",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:60662d9e769986070cb96d2714819decae564b8bc81afb1a107dee60be8e5d51",2022,10,"2022-10-01",1,0,2,0
"osrf","ros_legacy","sha256:fbdae35f299d4ae1db5b74066ca516ee92af790a36f1d74a883a6f268d25197d",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:40cf1e5ecded80f7bf9d2f32522b93f463c43a0414df87c9921fdbe69398c60c",2022,10,"2022-10-01",1,0,1,0
"osrf","ros","sha256:bfca05c498c6589d39fb23ecc62a5af9d8efb52f8ec6fab962c6ea4dd6a6307f",2022,10,"2022-10-01",2,0,2,0
"osrf","ros2","sha256:37b06bf5d0f4db40c72de76a69f128f39bfe4e66fc52edaa79fab1ebb94a8e06",2022,10,"2022-10-01",2,0,2,0
