,skip,arch,host,distro,release,pkg,file,path,count
71,False,amd64,ubuntu-stable,jammy,fortress,ignition-gazebo6,libignition-gazebo6-plugins_6.17.0-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-gazebo6/libignition-gazebo6-plugins_6.17.0-1%7ejammy_amd64.deb,1529
72,False,,ubuntu,noble,ionic,gz-gui9,gz-gui9_9.0.2-1~noble.dsc,/gazebo/ubuntu/pool/main/g/gz-gui9/gz-gui9_9.0.2-1~noble.dsc,7
73,False,amd64,ubuntu-stable,jammy,fortress,ignition-gazebo6,libignition-gazebo6_6.17.0-1%7ejammy_amd64.deb,/gazebo/ubuntu-stable/pool/main/i/ignition-gazebo6/libignition-gazebo6_6.17.0-1%7ejammy_amd64.deb,1524
74,False,,ubuntu-stable,,jetty,ros-iron-ros-gzgarden-sim,,/gazebo/ubuntu-stable/pool/main/r/ros-iron-ros-gzgarden-sim/,17
75,False,amd64,ubuntu-stable,noble,jetty,gz-cmake3,libgz-cmake3-dev_3.5.5-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-cmake3/libgz-cmake3-dev_3.5.5-1%7enoble_amd64.deb,3729
76,False,amd64,ubuntu-stable,noble,multiple,gz-utils2,libgz-utils2_2.2.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-utils2/libgz-utils2_2.2.1-1%7enoble_amd64.deb,3187
77,False,amd64,ubuntu-stable,noble,multiple,gz-utils2,libgz-utils2-dev_2.2.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-utils2/libgz-utils2-dev_2.2.1-1%7enoble_amd64.deb,3116
78,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5_5.7.1-1%7enoble_amd64.deb,2597
79,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-core-dev_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-core-dev_5.7.1-1%7enoble_amd64.deb,2594
80,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-av_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-av_5.7.1-1%7enoble_amd64.deb,2586
81,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-av-dev_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-av-dev_5.7.1-1%7enoble_amd64.deb,2582
82,False,amd64,ubuntu-stable,noble,multiple,gz-math7,libgz-math7_7.5.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-math7/libgz-math7_7.5.1-1%7enoble_amd64.deb,3115
83,False,amd64,ubuntu-stable,noble,multiple,gz-math7,libgz-math7-dev_7.5.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-math7/libgz-math7-dev_7.5.1-1%7enoble_amd64.deb,3103
84,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-events_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-events_5.7.1-1%7enoble_amd64.deb,2592
85,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-events-dev_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-events-dev_5.7.1-1%7enoble_amd64.deb,2587
86,False,,ubuntu-stable,noble,,,,/gazebo/ubuntu-stable/dists/noble/main/binary-amd64/Packages,74
87,False,amd64,ubuntu-stable,noble,multiple,gz-common5,libgz-common5-graphics_5.7.1-1%7enoble_amd64.deb,/gazebo/ubuntu-stable/pool/main/g/gz-common5/libgz-common5-graphics_5.7.1-1%7enoble_amd64.deb,2593
